股票代码	雅虎代码	公司名称	交易所
605166	605166.SS	聚合顺	SH
300755	300755.SZ	华致酒行	SZ
600629	600629.SS	华建集团	SH
603529	603529.SS	爱玛科技	SH
603126	603126.SS	中材节能	SH
600012	600012.SS	皖通高速	SH
603351	603351.SS	威尔药业	SH
688617	688617.SS	惠泰医疗	SH
600718	600718.SS	东软集团	SH
002871	002871.SZ	伟隆股份	SZ
603138	603138.SS	海量数据	SH
000753	000753.SZ	漳州发展	SZ
300239	300239.SZ	东宝生物	SZ
300853	300853.SZ	申昊科技	SZ
300904	300904.SZ	威力传动	SZ
300992	300992.SZ	泰福泵业	SZ
002289	002289.SZ	ST宇顺	SZ
002930	002930.SZ	宏川智慧	SZ
300432	300432.SZ	富临精工	SZ
002205	002205.SZ	国统股份	SZ
600548	600548.SS	深高速	SH
688190	688190.SS	云路股份	SH
600327	600327.SS	大东方	SH
600664	600664.SS	哈药股份	SH
300555	300555.SZ	ST路通	SZ
000721	000721.SZ	西安饮食	SZ
000528	000528.SZ	柳 工	SZ
688686	688686.SS	奥普特	SH
605090	605090.SS	九丰能源	SH
688290	688290.SS	景业智能	SH
600600	600600.SS	青岛啤酒	SH
002267	002267.SZ	陕天然气	SZ
688669	688669.SS	聚石化学	SH
000615	000615.SZ	ST美谷	SZ
000889	000889.SZ	ST中嘉	SZ
301203	301203.SZ	国泰环保	SZ
688767	688767.SS	博拓生物	SH
002780	002780.SZ	三夫户外	SZ
603091	603091.SS	众鑫股份	SH
001301	001301.SZ	尚太科技	SZ
301421	301421.SZ	波长光电	SZ
603825	603825.SS	华扬联众	SH
600316	600316.SS	洪都航空	SH
000793	000793.SZ	华闻集团	SZ
603391	603391.SS	力聚热能	SH
603887	603887.SS	城地香江	SH
300901	300901.SZ	中胤时尚	SZ
601089	601089.SS	福元医药	SH
301093	301093.SZ	华兰股份	SZ
300716	300716.SZ	泉为科技	SZ
605167	605167.SS	利柏特	SH
600576	600576.SS	祥源文旅	SH
600097	600097.SS	开创国际	SH
688646	688646.SS	逸飞激光	SH
000909	000909.SZ	ST数源	SZ
301239	301239.SZ	普瑞眼科	SZ
603062	603062.SS	麦加芯彩	SH
002646	002646.SZ	天佑德酒	SZ
688087	688087.SS	英科再生	SH
601086	601086.SS	国芳集团	SH
603337	603337.SS	杰克股份	SH
600803	600803.SS	新奥股份	SH
603153	603153.SS	上海建科	SH
000715	000715.SZ	中兴商业	SZ
000573	000573.SZ	粤宏远Ａ	SZ
600774	600774.SS	汉商集团	SH
600136	600136.SS	ST明诚	SH
605289	605289.SS	罗曼股份	SH
600860	600860.SS	京城股份	SH
601298	601298.SS	青岛港	SH
600616	600616.SS	金枫酒业	SH
600381	600381.SS	ST春天	SH
300985	300985.SZ	致远新能	SZ
300509	300509.SZ	新美星	SZ
600603	600603.SS	ST广物	SH
300506	300506.SZ	*ST名家	SZ
605300	605300.SS	佳禾食品	SH
002910	002910.SZ	庄园牧场	SZ
301371	301371.SZ	敷尔佳	SZ
603615	603615.SS	茶花股份	SH
603023	603023.SS	*ST威帝	SH
002356	002356.SZ	赫美集团	SZ
600234	600234.SS	*ST科新	SH
300890	300890.SZ	翔丰华	SZ
688677	688677.SS	海泰新光	SH
603969	603969.SS	银龙股份	SH
000425	000425.SZ	徐工机械	SZ
000564	000564.SZ	供销大集	SZ
601880	601880.SS	辽港股份	SH
301358	301358.SZ	湖南裕能	SZ
002141	002141.SZ	*ST贤丰	SZ
688365	688365.SS	光云科技	SH
000530	000530.SZ	冰山冷热	SZ
688382	688382.SS	益方生物-U	SH
000809	000809.SZ	*ST和展	SZ
002514	002514.SZ	宝馨科技	SZ
603333	603333.SS	尚纬股份	SH
601088	601088.SS	中国神华	SH
600810	600810.SS	神马股份	SH
002530	002530.SZ	金财互联	SZ
000596	000596.SZ	古井贡酒	SZ
300298	300298.SZ	三诺生物	SZ
600666	600666.SS	奥瑞德	SH
601139	601139.SS	深圳燃气	SH
300795	300795.SZ	米奥会展	SZ
603395	603395.SS	红四方	SH
601985	601985.SS	中国核电	SH
